날짜,플랫폼,별점,리뷰,테마
2026-05-03,네이버,5,라떼가 진하고 부드러워요,맛
2026-05-05,카카오맵,4,분위기 좋고 사진맛집,분위기
2026-05-06,인스타,5,디저트 케이크 촉촉하니 맛있음,디저트
2026-05-08,네이버,2,주말엔 너무 오래 기다려요,대기시간
2026-05-09,카카오맵,3,맛은 좋은데 가격이 좀 있어요,가격
2026-05-11,네이버,5,사장님이 친절하세요,친절
2026-05-12,인스타,4,인테리어 감성 최고,분위기
2026-05-14,카카오맵,1,주문 밀려서 30분 기다림 별로,대기시간
2026-05-15,네이버,5,원두 사다 먹는데 신선해요,맛
2026-05-16,네이버,4,쿠키 종류 다양해서 좋음,디저트
2026-05-18,카카오맵,2,가격 대비 양이 적어요,가격
2026-05-19,인스타,5,말차라떼 강추,맛
2026-05-20,네이버,3,자리가 부족해요 좁음,분위기
2026-05-22,카카오맵,5,청결하고 깔끔해요,청결
2026-05-23,네이버,4,직원분들 응대 친절,친절
2026-05-25,인스타,2,웨이팅 너무 길어요,대기시간
2026-05-26,카카오맵,5,디저트랑 커피 둘다 굿,디저트
2026-05-27,네이버,3,가격이 조금 비싼편,가격
2026-05-29,카카오맵,4,커피 맛 안정적이에요,맛
2026-05-30,인스타,5,분위기랑 사진 다 만족,분위기
